GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	P01100	FOS	enables	GO:0003700	DNA-binding transcription factor activity	ECO:0000314	IDA	PMID:9732876		9606	BHF-UCL		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:12788789	UniProtKB:P42224	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:16511568	UniProtKB:P17275	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:18172215	UniProtKB:P05412	9606	IntAct	occurs_in(GO:0005634)	F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:19028685	UniProtKB:P56671	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:19064921	UniProtKB:P56279	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:20102225	UniProtKB:P05412	9606	IntAct	occurs_in(GO:0005634)	F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:20102225	UniProtKB:P15336	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:20102225	UniProtKB:P17275	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:20102225	UniProtKB:P17535	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:20102225	UniProtKB:P17544	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:20102225	UniProtKB:P18848	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:20102225	UniProtKB:P35638	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:20102225	UniProtKB:Q9Y5Q3	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:20195357	UniProtKB:O14974	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:20195357	UniProtKB:P05067	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:20195357	UniProtKB:P05412	9606	IntAct	occurs_in(GO:0005634)	F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:20195357	UniProtKB:P10909	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:20195357	UniProtKB:P15336	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:20195357	UniProtKB:P17275	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:20195357	UniProtKB:P17535	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:20195357	UniProtKB:P52736	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:20195357	UniProtKB:Q9BT78	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:20211142	UniProtKB:P17275	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:20511396	UniProtKB:P05412	9606	IntAct	occurs_in(GO:0005634)	F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:20936779	UniProtKB:P05412	9606	IntAct	occurs_in(GO:0005634)	F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:21199371	UniProtKB:P05412	9606	IntAct	occurs_in(GO:0005634)	F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:22308434	UniProtKB:Q03112	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:23602568	UniProtKB:P05412	9606	IntAct	occurs_in(GO:0005634)	F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:23661758	UniProtKB:P05412	9606	IntAct	occurs_in(GO:0005634)	F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:23661758	UniProtKB:P15336	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:23661758	UniProtKB:P17275	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:23661758	UniProtKB:P18847	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:23661758	UniProtKB:P18848	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:23661758	UniProtKB:P35638	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:23661758	UniProtKB:P49715	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:23661758	UniProtKB:P53567	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:23661758	UniProtKB:Q9Y5Q3	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:24029232	UniProtKB:P05412	9606	IntAct	occurs_in(GO:0005634)	F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:24029232	UniProtKB:P17275	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:24029232	UniProtKB:P17535	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:25241761	UniProtKB:P18848	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:25241761	UniProtKB:P42224	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:25609649	UniProtKB:O14974	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:25609649	UniProtKB:P05412	9606	IntAct	occurs_in(GO:0005634)	F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:25609649	UniProtKB:P15336	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:25609649	UniProtKB:P17275	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:25609649	UniProtKB:P17535	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:25609649	UniProtKB:P17544	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:26496610	UniProtKB:P05412	9606	IntAct	occurs_in(GO:0005634)	F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:26496610	UniProtKB:P17275	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:26496610	UniProtKB:P17535	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:28514442	UniProtKB:P05412	9606	IntAct	occurs_in(GO:0005634)	F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:28514442	UniProtKB:P15336	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:28514442	UniProtKB:P17275	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:28514442	UniProtKB:P17535	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:29997244	UniProtKB:P35638	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:31467278	UniProtKB:P35638	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:31467278	UniProtKB:P53567	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:31515488	UniProtKB:P05412	9606	IntAct	occurs_in(GO:0005634)	F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32296183	UniProtKB:P15336	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q02930-3	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q13526	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q96A09	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q96HB5	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q9H0I2	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32814053	UniProtKB:O14744	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32814053	UniProtKB:O14796	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32814053	UniProtKB:O60880	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32814053	UniProtKB:P11684	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32814053	UniProtKB:P27986-2	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32814053	UniProtKB:P35638	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32814053	UniProtKB:P42336	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32814053	UniProtKB:P52566	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32814053	UniProtKB:Q13322-4	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32814053	UniProtKB:Q13352	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32814053	UniProtKB:Q13829	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32814053	UniProtKB:Q14457	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32814053	UniProtKB:Q14693	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32814053	UniProtKB:Q14994	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32814053	UniProtKB:Q15907	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32814053	UniProtKB:Q3LI72	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32814053	UniProtKB:Q6UY14-3	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32814053	UniProtKB:Q6XD76	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32814053	UniProtKB:Q6ZMY6-2	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32814053	UniProtKB:Q8NFB2	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32814053	UniProtKB:Q96CM3	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32814053	UniProtKB:Q9BRT8	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32814053	UniProtKB:Q9BWF3-2	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32814053	UniProtKB:Q9BZM4	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32814053	UniProtKB:Q9HC44	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32814053	UniProtKB:Q9NQC1-2	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32814053	UniProtKB:Q9P1W8	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32814053	UniProtKB:Q9UFG5	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32814053	UniProtKB:Q9UI10	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32814053	UniProtKB:Q9UIH9	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32814053	UniProtKB:Q9UNY5	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:32814053	UniProtKB:Q9Y6G5	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:33961781	UniProtKB:P05412	9606	IntAct	occurs_in(GO:0005634)	F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:33961781	UniProtKB:P15336	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:33961781	UniProtKB:P17275	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:33961781	UniProtKB:P17535	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:33961781	UniProtKB:P17544	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:35140242	UniProtKB:P05412	9606	IntAct	occurs_in(GO:0005634)	F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:35140242	UniProtKB:P17275	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:35140242	UniProtKB:P17535	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:37398436	UniProtKB:P35638	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:7816143	UniProtKB:P05412	9606	IntAct	occurs_in(GO:0005634)	F
UniProtKB	P01100	FOS	enables	GO:0042802	identical protein binding	ECO:0000353	IPI	PMID:23661758	UniProtKB:P01100	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0042802	identical protein binding	ECO:0000353	IPI	PMID:25609649	UniProtKB:P01100	9606	IntAct		F
UniProtKB	P01100	FOS	enables	GO:0043565	sequence-specific DNA binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P12841|ensembl:ENSRNOP00000010712	9606	Ensembl		F
UniProtKB	P01100	FOS	enables	GO:0044877	protein-containing complex binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P12841|ensembl:ENSRNOP00000010712	9606	Ensembl		F
UniProtKB	P01100	FOS	enables	GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	ECO:0000353	IPI	PMID:10508860	UniProtKB:P05412	9606	CAFA		F
UniProtKB	P01100	FOS	enables	GO:0070412	R-SMAD binding	ECO:0000353	IPI	PMID:9732876	UniProtKB:P84022	9606	BHF-UCL		F
UniProtKB	P01100	FOS	enables	GO:1990837	sequence-specific double-stranded DNA binding	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00028376	9606	UniProt		F
UniProtKB	P01100	FOS	enables	GO:1990837	sequence-specific double-stranded DNA binding	ECO:0000314	IDA	PMID:28473536		9606	ARUK-UCL		F
UniProtKB	P01100	FOS	enables	GO:1990841	promoter-specific chromatin binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P12841|ensembl:ENSRNOP00000010712	9606	Ensembl		F
UniProtKB	P01100	FOS	involved_in	GO:0001661	conditioned taste aversion	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P12841|ensembl:ENSRNOP00000010712	9606	Ensembl		P
UniProtKB	P01100	FOS	involved_in	GO:0003407	neural retina development	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P12841|ensembl:ENSRNOP00000010712	9606	Ensembl		P
UniProtKB	P01100	FOS	involved_in	GO:0006355	regulation of DNA-templated transcription	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00028138|UniProtKB:P01101|ensembl:ENSMUSP00000021674|InterPro:IPR004827|InterPro:IPR046347	9606	UniProt		P
UniProtKB	P01100	FOS	involved_in	GO:0006357	regulation of transcription by RNA polymerase II	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000837	9606	InterPro		P
UniProtKB	P01100	FOS	involved_in	GO:0006357	regulation of transcription by RNA polymerase II	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0001297|MGI:MGI:102858|MGI:MGI:109384|MGI:MGI:1859147|MGI:MGI:1932093|MGI:MGI:95574|MGI:MGI:95575|PANTHER:PTN001156258|RGD:2165|RGD:2627|RGD:621611|UniProtKB:P01100|UniProtKB:P15408|UniProtKB:P18847|UniProtKB:Q8WYK2|UniProtKB:Q9NR55|WB:WBGene00001345	9606	GO_Central		P
UniProtKB	P01100	FOS	involved_in	GO:0006357	regulation of transcription by RNA polymerase II	ECO:0000304	TAS	PMID:10918580		9606	PINC		P
UniProtKB	P01100	FOS	involved_in	GO:0006357	regulation of transcription by RNA polymerase II	ECO:0005547	NAS	PMID:20102225		9606	ComplexPortal		P
UniProtKB	P01100	FOS	involved_in	GO:0006357	regulation of transcription by RNA polymerase II	ECO:0005547	NAS	PMID:23661758		9606	ComplexPortal		P
UniProtKB	P01100	FOS	involved_in	GO:0006357	regulation of transcription by RNA polymerase II	ECO:0000314	IDA	PMID:8628277		9606	ComplexPortal		P
UniProtKB	P01100	FOS	involved_in	GO:0006357	regulation of transcription by RNA polymerase II	ECO:0005547	NAS	PMID:9510247		9606	ComplexPortal		P
UniProtKB	P01100	FOS	involved_in	GO:0006366	transcription by RNA polymerase II	ECO:0000304	TAS	PMID:10918580		9606	PINC		P
UniProtKB	P01100	FOS	involved_in	GO:0006954	inflammatory response	ECO:0000304	TAS	PMID:9443941		9606	PINC		P
UniProtKB	P01100	FOS	involved_in	GO:0007179	transforming growth factor beta receptor signaling pathway	ECO:0000314	IDA	PMID:9732876		9606	BHF-UCL		P
UniProtKB	P01100	FOS	involved_in	GO:0007565	female pregnancy	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P12841|ensembl:ENSRNOP00000010712	9606	Ensembl		P
UniProtKB	P01100	FOS	involved_in	GO:0009416	response to light stimulus	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P12841|ensembl:ENSRNOP00000010712	9606	Ensembl		P
UniProtKB	P01100	FOS	involved_in	GO:0009612	response to mechanical stimulus	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P12841|ensembl:ENSRNOP00000010712	9606	Ensembl		P
UniProtKB	P01100	FOS	involved_in	GO:0009629	response to gravity	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P12841|ensembl:ENSRNOP00000010712	9606	Ensembl		P
UniProtKB	P01100	FOS	involved_in	GO:0009636	response to toxic substance	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P12841|ensembl:ENSRNOP00000010712	9606	Ensembl		P
UniProtKB	P01100	FOS	involved_in	GO:0014823	response to activity	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P12841|ensembl:ENSRNOP00000010712	9606	Ensembl		P
UniProtKB	P01100	FOS	involved_in	GO:0014856	skeletal muscle cell proliferation	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P12841|ensembl:ENSRNOP00000010712	9606	Ensembl		P
UniProtKB	P01100	FOS	involved_in	GO:0021987	cerebral cortex development	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P12841|ensembl:ENSRNOP00000010712	9606	Ensembl		P
